iter,loss,validate_loss
0,9.538695,9.577189
1,9.516065,9.554777
2,9.493892,9.529916
3,9.46929,9.501396
4,9.44107,9.468841
5,9.408862,9.431763
6,9.372197,9.389657
7,9.330573,9.341994
8,9.283469,9.288195
9,9.230341,9.227648
10,9.170585,9.159731
11,9.103569,9.083813
12,9.028667,8.99924
13,8.945246,8.905317
14,8.852627,8.801323
15,8.750104,8.686513
16,8.636953,8.560116
17,8.512438,8.421397
18,8.375818,8.269615
19,8.226349,8.104065
20,8.063372,7.924057
21,7.886222,7.7289143
22,7.694257,7.5180798
23,7.4869227,7.29109
24,7.263733,7.0475864
25,7.024347,6.7873597
26,6.768564,6.510352
27,6.4963317,6.21669
28,6.207776,5.9067273
29,5.9032316,5.581068
30,5.583298,5.240638
31,5.2488694,4.886666
32,4.901158,4.5208125
33,4.5417747,4.1451983
34,4.1727333,3.7624
35,3.7965167,3.3755789
36,3.4161637,2.9883835
37,3.0352302,2.605065
38,2.6578193,2.230506
39,2.288613,1.8701669
40,1.9328345,1.5300092
41,1.5962062,1.2163519
42,1.2848306,0.9356359
43,1.0049427,0.6942038
44,0.76267743,0.4978661
45,0.56361085,0.35118985
46,0.41212627,0.2566735
47,0.31073877,0.21394579
48,0.2592141,0.21887417
49,0.25381783,0.2631975
50,0.28687963,0.33485928
51,0.34704077,0.41916355
52,0.420426,0.50094426
53,0.49265176,0.5668879
54,0.55123806,0.60791075
55,0.5876654,0.62020373
56,0.59828556,0.6048925
57,0.58400434,0.5667722
58,0.5491775,0.5127281
59,0.5001305,0.4502689
60,0.4437726,0.38634422
61,0.3864942,0.32658073
62,0.33344728,0.27492023
63,0.28820205,0.23357777
64,0.2527115,0.20322473
65,0.22748882,0.1833043
66,0.2119063,0.17240186
67,0.20454879,0.16860853
68,0.20354708,0.16982822
69,0.20688084,0.17403893
70,0.21260568,0.17943408
71,0.21902758,0.18459047
72,0.22478592,0.18846793
73,0.22890358,0.19037718
74,0.2307406,0.19003686
75,0.23003948,0.18744175
76,0.22684795,0.18284616
77,0.22144577,0.17668328
78,0.21428774,0.16948654
79,0.20593128,0.16181727
80,0.19697514,0.15420252
81,0.18798728,0.14719501
82,0.17948551,0.14111732
83,0.17185928,0.13620661
84,0.16537876,0.13255705
85,0.16015872,0.13012917
86,0.15618753,0.12877837
87,0.15332614,0.12827946
88,0.15134867,0.12833184
89,0.14997275,0.12859602
90,0.1489033,0.12874895
91,0.1478678,0.12852786
92,0.14664012,0.12774275
93,0.14506683,0.12629439
94,0.14305921,0.12417279
95,0.14060311,0.12144573
96,0.13775225,0.118245356
97,0.13460746,0.11474092
98,0.13129427,0.11111395
99,0.1279417,0.10751771
100,0.12466614,0.104093485
101,0.12155327,0.10091528
102,0.11865534,0.09805393
103,0.115988284,0.095289275
104,0.11356172,0.09266977
105,0.11135962,0.09044963
106,0.1092896,0.088522404
107,0.10729061,0.086825415
108,0.10536578,0.08499194
109,0.103424646,0.08308342
110,0.101437815,0.08106017
111,0.099409655,0.07929979
112,0.09732023,0.077639945
113,0.095178604,0.07601434
114,0.09301107,0.0742726
115,0.09082178,0.07246899
116,0.08864389,0.070785955
117,0.08649673,0.06926949
118,0.08439186,0.067822084
119,0.08235426,0.06628755
120,0.08037321,0.0648387
121,0.07846257,0.06354881
122,0.07660366,0.0622014
123,0.07480342,0.060777497
124,0.073046416,0.059471164
125,0.07130734,0.05819459
126,0.06958972,0.056861833
127,0.067889206,0.055376854
128,0.06619512,0.053915158
129,0.064514905,0.052559108
130,0.06283671,0.051189598
131,0.0611768,0.04974363
132,0.059533764,0.048282634
133,0.05791755,0.04687297
134,0.05633485,0.04554996
135,0.054783,0.044264287
136,0.05326325,0.043013133
137,0.051777076,0.04173905
138,0.050325222,0.04048773
139,0.048912037,0.03932123
140,0.047539424,0.038193632
141,0.046193015,0.03704436
142,0.04487135,0.035922106
143,0.0435882,0.03496013
144,0.04231804,0.03403925
145,0.04108172,0.03305628
146,0.039860897,0.032008685
147,0.038668357,0.031060789
148,0.037503622,0.030223284
149,0.036353026,0.029360933
150,0.035237838,0.028483873
151,0.03414512,0.027626472
152,0.033079863,0.026812188
153,0.03204097,0.026035298
154,0.031026974,0.025247917
155,0.030037617,0.024448147
156,0.029072588,0.023658121
157,0.02813176,0.022916669
158,0.027211843,0.022179993
159,0.026314626,0.021424565
160,0.025439138,0.020701105
161,0.024583478,0.019978294
162,0.02374972,0.019254128
163,0.022937393,0.018582324
164,0.022146428,0.01792205
165,0.02137683,0.017256904
166,0.020627575,0.016614249
167,0.019901054,0.016016988
168,0.019194031,0.015451613
169,0.018508462,0.014869076
170,0.01784134,0.014286153
171,0.017194675,0.013751607
172,0.016566712,0.013255867
173,0.015958594,0.012752721
174,0.015368318,0.01225303
175,0.014796023,0.011784434
176,0.014241556,0.011353785
177,0.013704281,0.0109317675
178,0.0131850885,0.010516858
179,0.012682548,0.010104881
180,0.012196018,0.009710018
181,0.011725404,0.0093346825
182,0.011271026,0.00897582
183,0.010831928,0.008628651
184,0.010407715,0.008284052
185,0.009997586,0.007943513
186,0.009601652,0.0076180636
187,0.009220242,0.0073128836
188,0.008851265,0.007019986
189,0.008496102,0.0067268703
190,0.008153592,0.0064381566
191,0.007823283,0.006161709
192,0.007505312,0.0059033646
193,0.0071992315,0.0056634583
194,0.006904377,0.005426659
195,0.0066211773,0.005188338
196,0.006348124,0.004956955
197,0.006086051,0.0047423528
198,0.005834296,0.0045474675
199,0.005592278,0.004356763
200,0.00536017,0.0041656136
201,0.0051370044,0.003985666
202,0.004923374,0.0038185099
203,0.004718132,0.0036594886
204,0.0045215194,0.0035021345
205,0.004333049,0.0033510807
206,0.004152614,0.0032094528
207,0.0039798296,0.0030749314
208,0.0038144393,0.0029462716
209,0.0036562001,0.002824733
210,0.0035048975,0.002705031
211,0.0033602004,0.0025907352
212,0.0032219517,0.0024825507
213,0.0030898654,0.002380236
214,0.0029636875,0.0022826937
215,0.0028432652,0.0021886332
216,0.0027282727,0.0020982132
217,0.002618565,0.002013194
218,0.002513947,0.001933497
219,0.0024141842,0.0018565776
220,0.0023191127,0.0017824417
221,0.0022285134,0.0017124149
222,0.0021422592,0.0016465895
223,0.0020601554,0.0015841041
224,0.0019819494,0.0015242806
225,0.0019075765,0.0014657896
226,0.0018366969,0.0014096174
227,0.0017692554,0.0013569962
228,0.0017051224,0.0013088712
229,0.0016439366,0.0012649128
230,0.0015858224,0.0012230154
231,0.0015305849,0.0011828203
232,0.0014784851,0.001144917
233,0.00142923,0.0011099019
234,0.0013826967,0.0010772115
235,0.0013383606,0.0010460858
236,0.001296051,0.001016537
237,0.0012557955,0.0009887174
238,0.0012175727,0.0009625974
239,0.0011813611,0.00093785
240,0.0011472013,0.00091456354
241,0.0011149474,0.00089261174
242,0.0010844063,0.0008720167
243,0.0010554581,0.00085257425
244,0.0010279488,0.0008340028
245,0.0010017046,0.00081631966
246,0.0009767388,0.00079938816
247,0.0009532292,0.0007837569
248,0.0009308949,0.0007698887
249,0.0009097656,0.00075689243
250,0.000889889,0.0007444329
251,0.0008710818,0.00073240703
252,0.0008532064,0.00072126277
253,0.00083622156,0.00071123533
254,0.0008200452,0.0007024529
255,0.0008046943,0.0006943049
256,0.0007901815,0.00068617426
257,0.00077652966,0.0006782602
258,0.00076356856,0.00067108066
259,0.0007512465,0.0006649721
260,0.00073949096,0.00065956154
261,0.000728333,0.00065444416
