iter,loss,validate_loss
0,0.12354703,0.08567767
1,0.123285435,0.08521299
2,0.123065494,0.08475063
3,0.12286535,0.08426528
4,0.12266972,0.08375228
5,0.12248483,0.08322818
6,0.12232382,0.082713224
7,0.1221998,0.082228854
8,0.122124866,0.081812724
9,0.12210367,0.0814993
10,0.12211928,0.081299454
11,0.12212946,0.081192866
12,0.12209881,0.08115471
13,0.12201682,0.08116609
14,0.12189304,0.081215665
15,0.121743344,0.081288055
16,0.12158241,0.081366956
17,0.12141735,0.08142843
18,0.12124505,0.08144174
19,0.12105503,0.0813826
20,0.120828874,0.08121992
21,0.120545976,0.08092771
22,0.12018467,0.08048391
23,0.11972332,0.07986985
24,0.11913299,0.07906554
25,0.118382394,0.0780509
26,0.11742775,0.076792546
27,0.11620548,0.075235575
28,0.11462718,0.07330339
29,0.11258234,0.070903555
30,0.10994952,0.06794104
31,0.10660379,0.06433066
32,0.10242495,0.06002085
33,0.09731663,0.05503322
34,0.0912429,0.049532175
35,0.08429378,0.043938193
36,0.07680132,0.03912257
37,0.06953463,0.03670057
38,0.063999064,0.039097324
39,0.06260874,0.047258496
40,0.06685285,0.054696813
41,0.071749896,0.055417534
42,0.07193115,0.05097369
43,0.06839719,0.044951774
44,0.064057544,0.039830483
45,0.06085706,0.036510456
46,0.05934725,0.034803655
47,0.059158813,0.0341434
48,0.059629135,0.03397364
49,0.06018756,0.033913963
50,0.060473222,0.033764046
51,0.060317144,0.033462185
52,0.05968806,0.033048812
53,0.058652192,0.0326349
54,0.057344094,0.032383095
55,0.055949796,0.032466963
56,0.054687273,0.03302987
57,0.053762417,0.034077674
58,0.053286906,0.035413258
59,0.053206574,0.036625884
60,0.053273674,0.037272282
61,0.05317738,0.037101954
62,0.052726623,0.036183134
63,0.05195616,0.034833394
64,0.05106801,0.03341917
65,0.050278958,0.032202262
66,0.04970704,0.03129231
67,0.049346056,0.030678416
68,0.049106892,0.030297859
69,0.04888293,0.030083265
70,0.048592377,0.029995883
71,0.04819977,0.030029016
72,0.047719125,0.030203829
73,0.04720198,0.030543692
74,0.046716455,0.031041604
75,0.046318825,0.031636454
76,0.04602675,0.032206368
77,0.045808975,0.032597337
78,0.045599166,0.032702833
79,0.045339394,0.032502994
80,0.045016237,0.032077506
81,0.04466588,0.031557042
82,0.044341195,0.031061063
83,0.044073954,0.030664997
84,0.043861646,0.030404914
85,0.043678194,0.03028981
86,0.04349475,0.03031764
87,0.04329605,0.030482505
88,0.04308484,0.0307728
89,0.04287844,0.031161152
90,0.042697325,0.031595
91,0.042551536,0.03199255
92,0.042434316,0.032262534
93,0.04232399,0.032347634
94,0.042201832,0.0322564
95,0.042070247,0.03205727
96,0.041944526,0.031834774
97,0.041838072,0.031664327
98,0.04174709,0.031583823
99,0.041657843,0.031604655
100,0.041559037,0.031720363
101,0.041449796,0.03190753
102,0.041337486,0.032123428
103,0.041229695,0.032297276
104,0.04112383,0.03236293
105,0.04100968,0.03228535
106,0.04087681,0.03207941
107,0.040726803,0.031803187
108,0.040567093,0.031524494
109,0.040399507,0.03129682
110,0.040217537,0.031148538
111,0.040014915,0.03107753
112,0.039791446,0.03103353
113,0.039553083,0.030949721
114,0.039298855,0.030767456
115,0.039021555,0.030466309
116,0.038715564,0.03006922
117,0.038381413,0.029628139
118,0.03802194,0.029199343
119,0.03763376,0.028821317
120,0.037210163,0.02849985
121,0.03674894,0.028199308
122,0.03625276,0.02783806
123,0.035721004,0.027357368
124,0.035148002,0.026738765
125,0.034527708,0.02602132
126,0.033861328,0.025286848
127,0.03314664,0.024582494
128,0.032377884,0.023899464
129,0.031555172,0.023177966
130,0.030678853,0.022357242
131,0.029745955,0.02144793
132,0.028756704,0.020526573
133,0.027714076,0.019650832
134,0.026618738,0.018820483
135,0.025479829,0.017949967
136,0.024305794,0.016973885
137,0.02309002,0.01598629
138,0.021835286,0.015113619
139,0.020525014,0.014203443
140,0.019168502,0.013190023
141,0.017774632,0.012234572
142,0.0163595,0.011338336
143,0.014942825,0.010385024
144,0.013551977,0.0094645005
145,0.012219739,0.00863659
146,0.010962444,0.0077758287
147,0.009795776,0.0069955266
148,0.0087351315,0.006285243
149,0.007789148,0.005603412
150,0.0069687604,0.0050490964
151,0.0062774513,0.004547619
152,0.0057094516,0.0041399603
